Name,Rating,Reviews,Type,Employe,Sector,Old
Sagar Cements,4.3,246,Telecom,50k-1 Lakh Employees,Public,17 years old
Satin Finserv,4.1,246,Internet,1 Lakh+ Employees,Public,30 years old
ZF India Technology Center,3.7,248,IT Services & Consulting,1 Lakh+ Employees,Public,113 years old
MRF Vapocure Paints,4.0,248,Retail,1 Lakh+ Employees,NaN,NaN
ScoreMe Solutions,4.5,248,NBFC,1 Lakh+ Employees,NaN,NaN
ArcGate,3.6,247,Engineering & Construction,10k-50k Employees,Public,86 years old
Evolve Technologies & Services,4.1,247,IT Services & Consulting,1 Lakh+ Employees,Public,56 years old
Uneecops Technologies,4.2,247,IT Services & Consulting,1 Lakh+ Employees,Public,35 years old
Aeronautical Development Agency,4.4,247,IT Services & Consulting,1 Lakh+ Employees,Forbes Global 2000,30 years old
Titan Laboratories,3.7,247,IT Services & Consulting,1 Lakh+ Employees,Public,79 years old
Associated Road Carriers,4.2,246,IT Services & Consulting,1 Lakh+ Employees,Public,57 years old
IDS Infotech,3.2,246,Banking,1 Lakh+ Employees,Public,30 years old
Kanpur Fertilizers & Chemicals,4.0,246,Banking,1 Lakh+ Employees,Public,30 years old
Adama,4.3,246,IT Services & Consulting,1 Lakh+ Employees,Public,43 years old
Peregrine Guarding,4.1,245,IT Services & Consulting,1 Lakh+ Employees,Public,33 years old
Harsha Engineers,4.2,245,IT Services & Consulting,1 Lakh+ Employees,Public,38 years old
Andromeda Sales And Distribution,3.2,250,IT Services & Consulting,1 Lakh+ Employees,Public,27 years old
NVH India Auto Parts,3.7,248,Banking,50k-1 Lakh Employees,Public,31 years old
Teachnook,3.3,248,BPO,50k-1 Lakh Employees,Forbes Global 2000,46 years old
Mobikwik,3.4,247,BPO,50k-1 Lakh Employees,Public,41 years old
ABI Showatech,3.9,247,Telecom,50k-1 Lakh Employees,Public,17 years old
Health India Tpa Services,3.6,247,Internet,1 Lakh+ Employees,Public,30 years old
Adani Capital,4.3,247,IT Services & Consulting,1 Lakh+ Employees,Public,113 years old
Desun Hospital & Heart Institute,3.7,246,Retail,1 Lakh+ Employees,NaN,NaN
AVIOM,4.2,246,NBFC,1 Lakh+ Employees,NaN,NaN
Allanasons,3.9,246,Engineering & Construction,10k-50k Employees,Public,86 years old
Thomson Digital,4.0,245,IT Services & Consulting,1 Lakh+ Employees,Public,56 years old
